Year,Month,State,County,CO2 (ppm),NO2 (ppb),Ozone (ppm),PM2.5 (ug/m3),Pollutant,Monthly AQI Average
2020,1,Colorado,Adams,0.5785714285714285,43.94074074074074,0.032586207,8.394444444444444,Carbon monoxide,6.642857142857143
2020,1,Colorado,Adams,0.5785714285714285,43.94074074074074,0.032586207,8.394444444444444,Nitrogen dioxide (NO2),41.111111111111114
2020,1,Colorado,Adams,0.5785714285714285,43.94074074074074,0.032586207,8.394444444444444,Ozone,30.103448275862068
2020,1,Colorado,Adams,0.5785714285714285,43.94074074074074,0.032586207,8.394444444444444,PM2.5 - Local Conditions,41.94444444444444
2020,1,Colorado,Alamosa,0,0,0,0.8090909090909091,PM2.5 - Local Conditions,4.454545454545454
2020,1,Colorado,Arapahoe,0,0,0.040142857,3.5727272727272723,Ozone,37.285714285714285
2020,1,Colorado,Arapahoe,0,0,0.040142857,3.5727272727272723,PM2.5 - Local Conditions,19.727272727272727
2020,1,Colorado,Archuleta,0,8.820833333333333,0.040769231,0,Nitrogen dioxide (NO2),7.791666666666667
2020,1,Colorado,Archuleta,0,8.820833333333333,0.040769231,0,Ozone,37.80769230769231
2020,1,Colorado,Boulder,0,0,0.039344827586206894,5.5,Ozone,36.48275862068966
2020,1,Colorado,Boulder,0,0,0.039344827586206894,5.5,PM2.5 - Local Conditions,29.320987654320987
2020,1,Colorado,Clear Creek,0,0,0.0459,0,Ozone,42.7
2020,1,Colorado,Delta,0,7.15483871,0.037096774193548385,4.638709677419355,Nitrogen dioxide (NO2),6.483870967741935
2020,1,Colorado,Delta,0,7.15483871,0.037096774193548385,4.638709677419355,Ozone,34.32258064516129
2020,1,Colorado,Delta,0,7.15483871,0.037096774193548385,4.638709677419355,PM2.5 - Local Conditions,25.548387096774192
2020,1,Colorado,Denver,0.728,47.29727272727273,0.029379310344827585,6.633828996282528,Carbon monoxide,8.413333333333334
2020,1,Colorado,Denver,0.728,47.29727272727273,0.029379310344827585,6.633828996282528,Nitrogen dioxide (NO2),44.42727272727273
2020,1,Colorado,Denver,0.728,47.29727272727273,0.029379310344827585,6.633828996282528,Ozone,27.20689655172414
2020,1,Colorado,Denver,0.728,47.29727272727273,0.029379310344827585,6.633828996282528,PM2.5 - Local Conditions,33.910780669144984
2020,1,Colorado,Douglas,0,0,0.039419354838709675,3.1,Ozone,36.54838709677419
2020,1,Colorado,Douglas,0,0,0.039419354838709675,3.1,PM2.5 - Local Conditions,16.98611111111111
2020,1,Colorado,El Paso,0.73,0,0.04147541,4.529032258064516,Carbon monoxide,8.433333333333334
2020,1,Colorado,El Paso,0.73,0,0.04147541,4.529032258064516,Ozone,38.459016393442624
2020,1,Colorado,El Paso,0.73,0,0.04147541,4.529032258064516,PM2.5 - Local Conditions,24.419354838709676
2020,1,Colorado,Garfield,0,12.237931034482758,0.037660377358490565,3.967741935483871,Nitrogen dioxide (NO2),10.931034482758621
2020,1,Colorado,Garfield,0,12.237931034482758,0.037660377358490565,3.967741935483871,Ozone,34.93396226415094
2020,1,Colorado,Garfield,0,12.237931034482758,0.037660377358490565,3.967741935483871,PM2.5 - Local Conditions,22.096774193548388
2020,1,Colorado,Gilpin,0,0,0.047322580645161295,0,Ozone,44
2020,1,Colorado,Gunnison,0,0,0.045870967741935484,0,Ozone,42.61290322580645
2020,1,Colorado,Jackson,0,0,0,0.41818181818181815,PM2.5 - Local Conditions,2.3636363636363638
2020,1,Colorado,Jefferson,0,11.617857142857144,0.040285714285714286,0,Nitrogen dioxide (NO2),10.535714285714286
2020,1,Colorado,Jefferson,0,11.617857142857144,0.040285714285714286,0,Ozone,37.34065934065934
2020,1,Colorado,La Plata,0.20714285714285716,10.27888888888889,0.037225806,4.314634146341463,Carbon monoxide,2.0714285714285716
2020,1,Colorado,La Plata,0.20714285714285716,10.27888888888889,0.037225806,4.314634146341463,Nitrogen dioxide (NO2),9.144444444444444
2020,1,Colorado,La Plata,0.20714285714285716,10.27888888888889,0.037225806,4.314634146341463,Ozone,34.473118279569896
2020,1,Colorado,La Plata,0.20714285714285716,10.27888888888889,0.037225806,4.314634146341463,PM2.5 - Local Conditions,23.951219512195124
2020,1,Colorado,Larimer,0.5655172413793103,0,0.042644628099173555,2.361904761904762,Carbon monoxide,6.517241379310345
2020,1,Colorado,Larimer,0.5655172413793103,0,0.042644628099173555,2.361904761904762,Ozone,39.59504132231405
2020,1,Colorado,Larimer,0.5655172413793103,0,0.042644628099173555,2.361904761904762,PM2.5 - Local Conditions,13.071428571428571
2020,1,Colorado,Mesa,0,0,0.032518518518518516,9.303225806451612,Ozone,30.074074074074073
2020,1,Colorado,Mesa,0,0,0.032518518518518516,9.303225806451612,PM2.5 - Local Conditions,46.935483870967744
2020,1,Colorado,Montezuma,0,0,0.039391304,0.7937500000000001,Ozone,36.51086956521739
2020,1,Colorado,Montezuma,0,0,0.039391304,0.7937500000000001,PM2.5 - Local Conditions,4.25
2020,1,Colorado,Park,0,0,0.051923076923076926,0,Ozone,48.57692307692308
2020,1,Colorado,Pitkin,0,0,0,0.32999999999999996,PM2.5 - Local Conditions,2
2020,1,Colorado,Pueblo,0,0,0,4.1875,PM2.5 - Local Conditions,23.375
2020,1,Colorado,Rio Blanco,0,10.331034482758621,0.036516129032258066,5.628571428571429,Nitrogen dioxide (NO2),9.344827586206897
2020,1,Colorado,Rio Blanco,0,10.331034482758621,0.036516129032258066,5.628571428571429,Ozone,33.67741935483871
